Phys. Rev. Lett. 102 (2009) 192001
https://doi.org/10.1103/PhysRevLett.102.192001
Neutron magnetic form factor
process: e + d -> e p n




Q2	G_Mn/G_D/mu	err_stat	err_syst
GeV^2	1		1		1
0.9848	0.9953		0.008		0.021
1.1364	1.0073		0.0079		0.025
1.2879	1.0319		0.0072		0.022
1.4394	1.0228		0.0067		0.02
1.5909	1.0127		0.0065		0.019
1.7424	1.0136		0.0066		0.019
1.8939	1.0167		0.0064		0.019
2.0455	1		0.0065		0.021
2.197	0.9919		0.0071		0.021
2.3485	1.0016		0.0084		0.021
2.5	1.0212		0.0099		0.023
2.6515	1.0344		0.0108		0.022
2.803	1.0012		0.0113		0.021
2.9546	0.9954		0.0123		0.021
3.1061	1.0019		0.0142		0.021
3.2576	0.9779		0.0154		0.02
3.4091	0.9967		0.0172		0.02
3.5606	0.9918		0.0184		0.018
3.7121	0.9742		0.0203		0.018
3.8636	0.9791		0.023		0.018
4.0152	1.0285		0.0252		0.018
4.1667	0.9193		0.0265		0.017
4.3182	0.9079		0.0294		0.017
4.4697	0.9903		0.0386		0.017
4.6212	1.1074		0.0989		0.014
4.7727	1.0921		0.1302		0.014
